trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
766,False,"{'a': 0.5, 'e': 0.00047130741079576537}",20,12,15.03696688798705,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
767,False,"{'a': 0.5, 'e': 0.0004666178237030984}",30,18,24.034498771409897,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
768,False,"{'a': 0.5, 'e': 0.0004619748987816513}",20,9,18.127782930746775,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
769,False,"{'a': 0.5, 'e': 0.0004573781717350623}",20,5,22.697491748108394,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
770,False,"{'a': 0.5, 'e': 0.00045282718288679695}",20,12,16.603780568463893,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
771,False,"{'a': 0.5, 'e': 0.00044832147713417755}",25,8,30.51082690679788,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
772,False,"{'a': 0.5, 'e': 0.000443860603902874}",20,0,33.60679008689256,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
773,False,"{'a': 0.5, 'e': 0.00043944411710184546}",20,3,26.76587558705389,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
774,False,"{'a': 0.5, 'e': 0.0004350715750787321}",20,12,8.907307477875072,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
775,False,"{'a': 0.5, 'e': 0.00043074254057568753}",20,0,33.563105718803605,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
776,False,"{'a': 0.5, 'e': 0.00042645658068565383}",25,12,23.098541101604066,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
777,False,"{'a': 0.5, 'e': 0.00042221326680906996}",25,16,15.083976337130238,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
778,False,"{'a': 0.5, 'e': 0.0004180121746110129}",30,24,13.741320574123542,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
779,False,"{'a': 0.5, 'e': 0.00041385288397876164}",25,19,9.894614570508264,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
780,False,"{'a': 0.5, 'e': 0.0004097349789797868}",20,9,19.69981103786612,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
781,False,"{'a': 0.5, 'e': 0.0004056580478201565}",25,14,22.998538668643548,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
782,False,"{'a': 0.5, 'e': 0.0004016216828033581}",30,10,37.64634231527825,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
783,False,"{'a': 0.5, 'e': 0.00039762548028952584}",25,13,21.79406309968941,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
784,False,"{'a': 0.5, 'e': 0.0003936690406550783}",25,4,33.3214340748226,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
785,False,"{'a': 0.5, 'e': 0.0003897519682527545}",20,10,20.613776067265977,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
786,False,"{'a': 0.5, 'e': 0.00038587387137205064}",20,15,12.054052544680403,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
787,False,"{'a': 0.5, 'e': 0.0003820343622000467}",20,0,34.341077734473366,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
788,False,"{'a': 0.5, 'e': 0.00037823305678262576}",20,10,18.094109793951578,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
789,False,"{'a': 0.5, 'e': 0.000374469574986078}",20,10,19.215156264614834,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
790,False,"{'a': 0.5, 'e': 0.0003707435404590882}",20,14,10.566909432881083,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
791,False,"{'a': 0.5, 'e': 0.0003670545805950984}",25,15,20.710871847854918,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
792,False,"{'a': 0.5, 'e': 0.0003634023264950478}",20,13,13.832680225427719,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
793,False,"{'a': 0.5, 'e': 0.00035978641293048274}",20,0,31.743293451887894,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
794,False,"{'a': 0.5, 'e': 0.00035620647830703403}",25,17,15.664704062415712,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
795,False,"{'a': 0.5, 'e': 0.00035266216462825575}",30,12,32.607202381331575,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
796,False,"{'a': 0.5, 'e': 0.0003491531174598264}",25,10,30.839660136999036,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
